elo_rank,wow_rank_change,team_nick,team_logo_espn,offensive_rank,defensive_rank,team,team_color,nfelo,_538_qb_adj,spread_val,wow_spread_val,soy_spread_val,soy_rank_change,wins,points_for_ytd,points_against_ytd,point_dif_ytd,film_dif_ytd,epa_per_play_ytd,epa_per_pass_ytd,epa_per_rush_ytd,epa_per_play_against_ytd,epa_per_pass_against_ytd,epa_per_rush_against_ytd,net_epa_per_play_ytd,wepa_margin_ytd,wepa_for_ytd,wepa_against_ytd,expected_wins_538_ytd,expected_wins_pff_ytd,qb_value_538_ytd,pythag_wins,nfelo_rank,point_dif_ytd_rank,net_epa_per_play_ytd_rank,epa_per_play_ytd_rank,epa_per_pass_ytd_rank,epa_per_rush_ytd_rank,epa_per_play_against_ytd_rank,epa_per_pass_against_ytd_rank,epa_per_rush_against_ytd_rank,season,week
1,0,Lions,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,1,4,DET,#0076B6,1682,-8,6.7,-0.5,3.2,5,8,284,171,113,94.71068983,0.1017632926,0.2107012697,0.03240014122,-0.136831764,-0.1333231701,-0.1160755774,0.2385950566,99.6954677,8.08012463,-2.40355385,5.54966064,9,157.3614462,6.920445272,1,1,1,4,4,3,3,2,12,2024,10
2,0,Ravens,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png,2,26,BAL,#241773,1679,39,6.6,0.1,2,2,7,318,253,65,109.6939468,0.2409068912,0.4627339112,0.0185247273,0.04749013108,0.1454973714,-0.1792646626,0.1934167601,92.50129741,14.18448291,5.43575983,6.37237618,8,342.223618,6.322609658,6,7,4,1,1,4,26,27,3,2024,10
3,1,Bills,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,3,10,BUF,#00338D,1667,-2,6.1,0,1,0,8,290,193,97,26.62684965,0.1642200468,0.2727324308,0.03574050835,-0.04049498687,0.04579441405,-0.1224944398,0.2047150337,99.97488288,10.26340032,0.8050268412,6.83557453,6,230.7594062,7.24130169,2,2,2,3,3,2,11,16,10,2024,10
4,-1,Chiefs,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png,14,8,KC,#E31837,1658,-7,5.7,-0.5,-0.3,-3,9,219,161,58,68.83522177,0.0585305527,0.1245064861,-0.06466860843,-0.02881423432,0.04377464827,-0.1296496643,0.08734478702,66.17133207,6.603497108,-0.3432177769,6.59678463,8,177.6294922,6.071611244,3,9,11,10,10,13,13,15,6,2024,10
5,0,Eagles,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png,8,15,PHI,#004C54,1650,11,5.4,2,4.6,6,7,233,161,72,76.81063151,0.07694636871,0.1664392007,0.04030878375,-0.1169536803,-0.09929972774,-0.1246211132,0.193900049,76.01889658,5.911131379,-2.074550788,5.12526605,7,226.428936,6.353994993,5,4,3,6,8,1,4,3,9,2024,10
5,0,49ers,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,10,13,SF,#AA0000,1650,10,5.4,0.6,-0.2,-3,5,233,202,31,64.87170947,0.09402201623,0.2040333579,-0.0550181287,-0.05036949415,-0.03536516629,-0.08759861799,0.1443915104,40.17053595,6.45241996,2.248919043,5.9432039,6,207.1598741,5.254143466,4,11,7,5,5,11,10,8,16,2024,10
7,2,Bengals,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,5,30,CIN,#FB4F14,1597,20,3.3,0.7,0.9,1,4,270,262,8,-23.15417314,0.06701082636,0.168420904,-0.1114406332,0.06932103686,0.1562029616,-0.01227775609,-0.002310210497,31.25467091,9.075996923,6.142916298,5.23250946,4,247.053771,5.178133499,8,15.5,16,7,6,22,28,28,29,2024,10
8,-1,Commanders,https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png,4,19,WAS,#5A1414,1584,23,2.8,-0.3,7.3,23,7,290,217,73,23.31083012,0.1726797243,0.2962994698,0.01787509369,-0.009618522921,-0.004772676242,-0.01785692904,0.1822982472,98.39874512,13.23016501,3.921453142,4.53022018,6,228.7086395,6.653573591,10,3,5,2,2,5,20,12,28,2024,10
9,2,Vikings,https://a.espncdn.com/i/teamlogos/nfl/500/min.png,13,3,MIN,#4F2683,1582,-8,2.7,0.2,4,13,7,221,157,64,52.66833079,0.00182811412,0.07589430746,-0.08498550225,-0.169168732,-0.0743792102,-0.2932310101,0.1709968461,65.82463472,2.435632288,-4.474504034,5.11623345,8,147.7614256,6.229643401,7,8,6,14,14,16,1,5,1,2024,10
10,-2,Steelers,https://a.espncdn.com/i/teamlogos/nfl/500/pit.png,18,2,PIT,#000000,1580,32,2.6,-0.3,2.7,8,7,215,146,69,66.34156847,0.006049617234,0.1111301296,-0.09485562424,-0.1031437331,-0.05782559364,-0.1686306371,0.1091933503,57.42470071,3.939450582,-2.084451128,5.53554464,8,177.4203716,6.430359486,12,5,10,13,12,19,6,6,4,2024,10
11,-1,Packers,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,11,9,GB,#203731,1560,-9,1.8,-0.7,-0.1,-2,6,230,194,36,20.83058062,0.04321498842,0.168290564,-0.02208075568,-0.07544368856,-0.007800782572,-0.1271359213,0.118658677,38.4593933,5.036031564,1.013064696,5.51546369,4,175.950286,5.395590578,9,10,9,12,7,8,9,11,7,2024,9
12,1,Chargers,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png,20,1,LAC,#007BC7,1559,-1,1.8,-0.1,3.7,11,6,186,118,68,21.59666741,-0.01088317736,0.06981150474,-0.1053107374,-0.1412483468,-0.09810042542,-0.2194014284,0.1303651694,54.46090184,0.4070861604,-5.304119676,4.51608178,6,158.0175756,6.715885139,11,6,8,15,15,21,2,4,2,2024,10
13,-1,Falcons,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,12,27,ATL,#A71930,1552,13,1.5,-1,2.1,6,6,238,236,2,31.4723084,0.04410972816,0.105112887,-0.04012851841,0.04417020687,0.1209480166,-0.05220183898,-6.05E-05,8.910942364,4.460054541,3.64861145,4.15758453,7,172.8082545,5.04999863,13,17,15,11,13,9,25,25,23,2024,10
14,3,Dolphins,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png,28,12,MIA,#008E97,1541,16,1,0.5,-1.7,-7,3,147,202,-55,-20.955505,-0.1242069985,-0.03662471451,-0.2231316078,-0.01514642973,0.05233541603,-0.1132830494,-0.1090605688,-58.74792462,-5.533737199,0.6991528802,4.69501354,4,108.107664,2.880984362,15,24,25,27,22,31,18,19,13,2024,10
15,-1,Buccaneers,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png,6,25,TB,#A71930,1533,24,0.7,-0.1,1.5,5,4,279,266,13,4.577786803,0.06326636445,0.1210751243,-0.01024912298,0.09701596124,0.2124644322,-0.054510124,-0.03374959679,27.95070418,7.682844821,5.063490826,5.04892706,5,227.6163405,5.282413275,17,14,20,9,11,6,29,30,22,2024,10
16,-1,Texans,https://a.espncdn.com/i/teamlogos/nfl/500/hou.png,9,15,HOU,#03202F,1516,-16,0,-0.7,-0.9,-5,6,224,226,-2,38.38659596,-0.06086086802,0.0100441379,-0.1996303766,-0.0764718351,-0.03126913508,-0.1332950729,0.01561096708,-8.728348507,0.3284100138,1.19189679,5.03750884,6,116.5662939,4.947334934,14,18,14,20,20,30,8,10,5,2024,10
17,-1,Jets,https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png,23,18,NYJ,#003F2D,1514,1,0,-0.7,-0.3,-2,3,177,214,-37,-17.49668455,-0.02568440785,0.03781447464,-0.1266632297,-0.01772343383,0.005151954523,-0.02825579817,-0.00796097402,-26.18263218,-0.117736125,2.403113735,4.48182698,5,133.0436033,3.893873266,16,23,17,16,16,26,16,13,26,2024,10
18,1,Broncos,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,17,6,DEN,#002244,1511,6,-0.2,0.4,3,10,5,197,177,20,10.83352494,-0.08443680612,-0.07090673993,-0.1487698702,-0.1079480298,-0.05675180125,-0.1017912926,0.02351122363,4.776388781,-2.147055799,-2.565904629,4.69736401,6,170.1683677,5.630914077,18,12,12,22,23,27,5,7,15,2024,10
19,2,Cardinals,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,15,11,ARI,#97233F,1501,17,-0.6,0.2,2.7,10,6,238,220,18,19.78462994,0.06484670831,0.163596512,-0.06175231029,0.04271505165,0.1245166754,-0.02723606789,0.02213165666,30.58605081,7.810547352,4.940955353,3.67174371,5,242.3512942,5.464616279,22,13,13,8,9,12,24,26,27,2024,10
20,0,Rams,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png,21,17,LAR,#003594,1486,-7,-1.2,-0.6,-3,-10,4,185,217,-32,-34.81437951,-0.06714188778,-0.03499870787,-0.1198893495,0.005282516487,0.09265917227,-0.08133966944,-0.07242440427,-39.63351276,-1.252000385,2.964224093,4.28272251,2,127.5723957,3.659237974,19,22,23,21,21,24,21,21,19,2024,10
21,3,Colts,https://a.espncdn.com/i/teamlogos/nfl/500/ind.png,16,22,IND,#002C5F,1471,17,-1.8,-0.8,0.6,4,4,208,223,-15,-4.007073164,-0.08623203872,-0.07195416043,-0.1122174841,-0.02686932868,0.07550349882,-0.1071149427,-0.05936271004,-29.65978781,-1.629880023,1.221140969,4.10945475,5,92.2010938,4.588354234,25,20,21,23,24,23,15,20,14,2024,10
22,1,Bears,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png,24,7,CHI,#0B162A,1460,-26,-2.2,-1.4,-0.2,2,4,175,167,8,0.134657383,-0.1119957676,-0.08105578797,-0.122610073,-0.09733199581,-0.1635504331,-0.03331627654,-0.01466377178,-23.83098537,-4.300852882,-1.751873804,5.11875847,4,58.60868422,4.749263795,20,15.5,18,25,25,25,7,1,25,2024,10
23,-1,Seahawks,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png,19,16,SEA,#002244,1459,-1,-2.2,-1.5,-2.9,-10,4,210,221,-11,14.02080917,-0.04369527793,0.02898487725,-0.1744498203,0.02211873047,0.1141598997,-0.06573587669,-0.0658140084,-11.75826964,0.3885619111,1.663808823,4.43526519,5,171.97075,4.22807999,24,19,22,19,17,28,23,22,20,2024,9
24,5,Saints,https://a.espncdn.com/i/teamlogos/nfl/500/no.png,7,23,NO,#D3BC8D,1444,18,-2.8,0.8,-2.9,-8,3,227,246,-19,-56.51418614,-0.04254212453,0.01655293546,-0.05501706858,-0.01569993293,-0.03214882581,0.008987215987,-0.0268421916,-26.79622778,-1.875646162,0.7034669757,5.29612201,2,131.4078912,4.525174659,27,21,19,18,18,10,17,9,31,2024,10
25,2,Giants,https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png,32,14,NYG,#0B2265,1436,-2,-3.2,-0.3,0.3,5,2,156,222,-66,-38.68361598,-0.08937487998,-0.08361569975,-0.07430024111,0.04802920867,0.1163622981,-0.03735652625,-0.1374040886,-64.55161004,-3.50033502,2.663821244,4.3437409,4,108.8984852,3.023385252,26,28,27,24,26,14,27,24,24,2024,10
26,-1,Jaguars,https://a.espncdn.com/i/teamlogos/nfl/500/jax.png,22,32,JAX,#006778,1415,-56,-4,-2.9,-4.1,-9,2,202,264,-62,-42.99657619,-0.03785473057,0.01268969681,-0.01712909987,0.1335442123,0.2738152816,-0.08488670387,-0.1713989428,-48.21213228,2.503679395,7.116328847,3.95388363,2,136.0363612,3.46512405,23,26,29,17,19,7,32,32,17,2024,10
27,-9,Cowboys,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png,25,29,DAL,#002244,1414,-71,-4,-4.2,-7.9,-22,3,177,259,-82,-99.80051982,-0.1373637979,-0.1505767258,-0.08821044457,0.1181036043,0.2329795823,0.05925537883,-0.2554674022,-71.80843215,-2.780196667,4.830641866,4.40160612,2,126.1142924,2.597373342,21,29,31,28,29,17,31,31,32,2024,10
28,-2,Browns,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,31,21,CLE,#FF3C00,1411,9,-4.2,-1.6,-4.5,-14,2,148,213,-65,-42.68196885,-0.1507653988,-0.1571181144,-0.1036404099,-0.02697757926,0.05128502921,-0.1260535661,-0.1237878195,-78.23011415,-9.729093631,-1.440734969,3.92321484,2,47.73785133,2.670661857,29,27,26,30,30,20,14,18,8,2024,9
29,1,Raiders,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png,26,28,OAK,#000000,1406,-7,-4.4,-0.4,-3.3,-8,2,168,251,-83,-69.46536654,-0.2065057324,-0.1299254379,-0.3940821238,-0.01151779566,0.04630290944,-0.08429745239,-0.1949879368,-82.72563124,-8.01087043,0.7517876559,3.86014828,1,94.96455211,2.507197185,28,30.5,30,32,28,32,19,17,18,2024,9
30,1,Patriots,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,27,20,NE,#002244,1384,9,-5.2,0.7,-2.5,-4,3,160,220,-60,-84.45991993,-0.1224428942,-0.09697722345,-0.1887192285,0.01973970517,0.1153028016,-0.06247973146,-0.1421825993,-70.6584038,-5.368068206,1.3759556,3.53711759,2,97.106641,3.1979037,31,25,28,26,27,29,22,23,21,2024,10
31,-3,Titans,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png,29,24,TEN,#002244,1375,-19,-5.6,-2.5,-2.8,-4,2,157,240,-83,-61.94521499,-0.1395518733,-0.1776501031,-0.09387691058,-0.03512232775,0.02294512769,-0.116559667,-0.1044295456,-82.77615888,-7.248357124,1.519631571,3.26102803,2,85.8624757,2.410202784,30,30.5,24,29,31,18,12,14,11,2024,10
32,0,Panthers,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png,30,31,CAR,#0085CA,1259,-17,-10.2,0.7,-5.3,0,3,167,310,-143,-100.4820939,-0.1831397893,-0.2599070292,-0.07843488081,0.1048012963,0.1816347107,-0.002061384969,-0.2879410855,-146.7780766,-6.6868434,7.285085142,2.81804993,2,83.9151914,1.875466307,32,32,32,31,32,15,30,29,30,2024,10